,選手ID,スターティングフラグ,プレイタイム,得点,3P成功,3P試投,2P成功,2P試投,ダンク,フリースロー成功,フリースロー試投,ファウル,被ファウル,オフェンスリバウンド,ディフェンスリバウンド,トータルリバウンド,ターンオーバ,アシスト,スティール,ブロックショット,被ブロックショット,ファストブレイクポイント,ポイントフロムターンオーバー,2Pインサイドポイント,セカンドチャンスポイント,6man,period
71,8518,138,77969,371,26,92,112,238,0,69,94,124,126,26,122,148,103,217,77,3,15,60,66,192,21,0,181
72,8519,1,4547,28,7,19,3,12,0,1,2,6,1,0,5,5,1,2,2,0,3,0,0,2,0,0,20
73,8520,125,75555,344,42,120,75,187,0,68,91,121,109,42,152,194,63,134,58,7,21,44,32,126,31,0,200
74,8521,106,54043,433,21,59,145,321,0,80,106,152,127,55,109,164,57,47,30,7,28,51,56,258,22,0,157
75,8522,30,20404,120,2,10,45,78,12,24,44,48,33,33,66,99,14,11,9,12,4,22,8,86,22,0,66
76,8523,39,32018,135,4,19,53,124,5,17,44,63,48,25,55,80,13,8,9,7,11,4,14,78,28,0,109
77,8524,0,1812,15,0,1,5,13,0,5,5,6,4,6,5,11,3,2,0,1,1,0,0,8,4,0,10
78,8525,205,108198,1068,2,4,423,791,42,216,282,138,266,236,526,762,115,78,39,80,34,14,49,742,232,0,231
79,8526,81,47484,289,31,96,74,177,0,48,61,60,70,46,91,137,40,47,20,8,13,28,19,126,24,0,133
80,8527,73,45358,69,4,26,27,54,0,3,14,60,36,41,49,90,18,16,20,12,2,10,7,50,12,0,129
81,8528,173,95281,491,107,320,59,145,0,52,81,108,106,46,182,228,60,47,44,5,7,18,33,74,34,0,235
82,8529,154,99855,521,16,94,194,415,0,85,135,99,151,55,155,210,102,200,68,18,30,45,54,290,39,0,228
83,8530,33,24297,79,7,30,23,45,0,12,20,34,26,10,41,51,14,25,16,3,2,10,6,24,6,0,117
84,8531,86,59749,313,15,72,109,233,0,50,77,89,78,21,109,130,29,23,19,20,10,28,29,146,19,0,198
85,8532,120,77385,434,64,201,87,191,0,68,82,160,114,17,103,120,69,102,58,14,16,50,68,128,15,1,246
86,8533,3,3621,12,1,7,4,7,0,1,1,6,1,1,4,5,3,1,0,0,0,0,2,2,0,0,19
87,8534,161,92533,574,91,222,101,223,0,99,118,96,117,18,82,100,62,66,37,4,15,41,82,116,33,0,232
88,8535,77,42423,262,24,86,76,166,0,38,53,81,89,11,52,63,36,86,32,5,15,34,44,104,12,0,141
89,8536,168,117962,844,99,306,215,479,0,117,145,121,149,41,190,231,107,106,64,26,30,54,74,200,64,0,250
90,8537,1,852,4,0,0,2,5,0,0,0,3,0,1,4,5,3,1,1,0,1,2,2,4,0,0,6
91,8538,140,79857,566,40,114,165,334,0,116,144,86,148,60,138,198,49,78,39,7,18,44,68,176,54,0,200
92,8539,184,97218,527,38,111,184,445,0,45,75,94,104,26,140,166,65,120,56,2,28,74,77,216,28,0,252
93,8540,0,995,4,1,4,0,1,0,1,2,3,1,0,0,0,1,3,0,0,0,0,0,0,3,0,10
94,8541,21,18798,54,5,20,14,36,0,11,20,27,23,11,26,37,14,11,7,1,4,8,6,22,5,0,92
95,8542,205,112796,613,125,337,100,223,0,38,63,114,76,24,138,162,53,49,34,3,14,55,46,114,55,0,223
96,8543,131,71433,412,60,166,88,159,0,56,73,108,72,23,108,131,78,97,23,28,10,16,42,150,15,0,172
97,8544,18,11725,19,0,1,7,27,0,5,12,35,18,13,16,29,4,4,3,2,3,0,2,8,0,0,55
98,8545,46,26567,73,9,30,19,50,0,8,13,49,23,9,34,43,22,32,13,1,7,4,7,34,2,0,83
99,8546,104,54322,143,20,69,37,100,0,9,14,58,15,22,38,60,41,51,28,0,5,16,17,50,5,0,158
100,8547,147,94136,670,115,310,113,266,0,99,132,109,182,26,100,126,166,232,71,8,29,57,85,170,19,0,223
101,8548,42,17473,60,0,4,19,58,0,22,30,36,38,18,24,42,19,9,8,1,3,6,6,32,2,0,63
102,8549,16,9278,29,4,13,5,32,0,7,10,15,10,5,10,15,9,5,1,0,1,4,0,8,5,0,42
103,8550,180,107476,710,106,276,134,322,0,124,167,118,133,47,188,235,56,60,41,18,18,31,54,118,61,0,238
104,8551,115,75466,205,26,85,46,117,0,35,40,100,69,25,73,98,34,53,30,7,12,6,28,50,19,0,200
105,8552,200,114373,734,69,222,193,464,0,141,193,166,238,39,153,192,130,186,48,18,35,31,42,272,72,0,243
106,8553,7,8957,28,2,11,10,23,0,2,8,31,9,10,14,24,6,3,2,7,0,0,0,18,6,0,49
107,8554,136,84117,306,74,231,26,68,0,32,49,84,69,52,96,148,39,51,15,5,10,23,24,22,23,0,213
108,8555,71,55951,200,32,118,32,91,0,40,60,74,58,35,75,110,40,73,34,0,10,10,17,40,21,0,184
109,8556,147,90053,436,7,13,158,328,0,99,123,133,170,121,191,312,49,50,33,11,16,16,24,174,44,0,203
110,8557,7,10374,29,0,4,13,47,0,3,6,27,12,20,21,41,11,6,4,6,6,2,4,22,4,0,57
111,8558,149,81380,363,28,101,124,263,0,31,40,156,51,38,116,154,75,56,54,14,20,46,42,158,20,0,214
112,8559,117,62131,270,46,130,54,122,0,24,39,84,43,20,62,82,35,40,30,4,8,20,37,76,19,0,191
113,8560,104,73401,414,16,55,156,334,0,54,92,140,107,94,184,278,73,70,26,13,27,38,50,212,50,0,224
114,8561,207,102811,589,84,237,145,301,0,47,63,133,90,43,104,147,98,183,62,1,19,36,55,190,32,0,237
115,8562,145,84118,537,121,302,63,146,0,48,67,94,61,29,141,170,39,93,67,7,12,40,66,74,41,0,226
116,8563,106,53375,223,37,116,44,120,0,24,31,103,50,12,59,71,53,58,17,3,9,10,10,30,6,0,210
117,8564,8,4262,19,3,16,4,4,0,2,2,3,2,2,4,6,1,1,2,0,0,0,0,8,0,0,22
118,8565,142,87866,451,0,2,188,354,0,75,111,151,128,99,176,275,63,61,15,34,23,12,22,320,54,0,185
119,8566,15,14325,55,10,36,10,23,0,5,6,27,12,4,21,25,4,7,1,1,2,4,6,14,3,0,66
120,8567,120,77255,311,49,151,75,150,0,14,17,86,24,40,130,170,24,61,23,9,6,32,30,130,25,0,216
121,8568,154,109005,396,63,175,75,195,0,57,76,99,117,34,131,165,72,245,54,4,13,26,27,112,21,0,253
122,8569,119,65785,286,57,178,35,89,0,45,62,85,65,32,67,99,40,45,22,5,15,10,20,46,15,0,229
123,8570,79,30048,113,22,65,19,49,0,9,13,70,39,4,30,34,32,47,5,1,0,9,7,34,5,0,161
124,8571,165,96484,535,115,287,77,169,0,36,45,125,50,12,132,144,72,106,50,7,10,22,51,132,41,0,244
125,8577,133,72854,418,71,233,75,160,0,55,77,105,99,21,81,102,52,53,37,0,12,22,15,104,34,0,203
126,8578,76,43789,119,19,48,28,62,0,6,6,89,31,23,55,78,52,87,40,1,5,12,17,50,10,0,149
127,8579,207,111088,790,33,130,301,437,19,89,127,113,104,181,346,527,48,76,101,111,17,100,99,556,151,0,228
128,8580,29,14676,77,17,45,10,22,0,6,9,27,13,3,8,11,11,21,13,1,2,6,7,12,3,0,47
129,8581,35,17695,66,12,40,13,26,0,4,8,35,10,5,12,17,11,10,10,3,1,8,11,24,3,0,72
130,8582,19,12607,24,0,0,9,18,0,6,12,28,10,12,11,23,6,8,7,0,1,4,6,18,4,0,57
131,8583,150,88831,552,112,268,89,168,0,38,47,140,80,64,118,182,60,85,51,10,17,32,60,140,52,0,219
132,8584,60,39219,188,33,85,36,68,0,17,36,91,45,18,42,60,20,27,18,5,7,13,16,46,18,0,147
133,8585,191,115952,758,114,288,146,345,0,124,185,108,163,53,137,190,93,145,38,13,19,39,85,220,69,0,240
134,8586,34,18111,63,0,2,25,45,0,13,29,70,28,23,20,43,18,12,7,3,7,2,4,48,18,0,83
135,8587,111,61030,254,50,133,38,75,0,28,32,113,55,12,83,95,26,79,34,2,6,16,16,58,17,0,148
136,8588,64,46261,148,25,84,26,71,0,21,33,81,47,21,61,82,39,66,41,4,9,10,28,28,14,0,141
137,8589,188,111740,810,82,205,240,495,7,84,112,118,151,45,162,207,109,214,72,29,18,46,91,316,65,0,243
138,8590,89,54977,224,46,131,30,94,0,26,36,92,49,18,68,86,36,63,30,3,3,6,17,32,23,0,157
139,8591,158,103952,590,0,0,250,384,14,90,153,157,131,325,415,740,67,61,16,43,26,10,24,484,246,0,239
140,8592,187,103756,989,106,249,258,555,0,155,170,38,152,21,95,116,64,40,27,8,18,42,77,196,64,0,221
141,8593,155,101780,949,7,25,355,645,57,218,318,160,282,137,356,493,100,99,50,77,36,54,70,544,126,1,243
142,8594,86,47069,292,56,140,55,120,0,14,17,87,41,15,54,69,33,32,13,5,9,4,20,26,36,0,159
143,8595,14,12092,45,6,20,12,36,0,3,4,24,12,10,9,19,12,9,3,2,0,2,4,8,7,0,82
144,8596,182,86169,698,9,39,281,508,11,109,161,118,182,93,321,414,100,243,22,8,20,16,44,448,106,0,197
145,8597,11,9858,17,0,0,6,20,0,5,10,25,8,10,37,47,7,6,4,6,1,2,0,12,2,0,38
146,8598,175,102116,713,71,254,189,441,3,122,158,122,163,48,188,236,137,183,84,16,32,46,84,278,78,0,211
147,8599,199,112276,670,61,204,183,425,0,121,154,129,130,49,136,185,94,110,42,5,23,28,54,258,45,0,232
148,8600,87,60699,250,37,118,55,118,0,29,55,105,87,28,66,94,93,89,62,3,13,16,31,106,24,0,208
149,8601,3,4872,13,3,9,1,10,0,2,2,26,2,0,0,0,2,4,1,2,1,0,0,0,0,0,49
150,8602,152,87594,521,113,274,67,154,0,48,63,115,72,20,82,102,64,89,24,2,16,13,25,48,36,0,237
151,8603,16,9244,23,2,18,7,24,0,3,4,16,8,2,6,8,10,12,1,1,1,0,4,14,0,0,60
152,8604,136,87284,577,71,196,141,316,0,82,101,121,126,43,137,180,100,104,28,17,24,36,46,200,31,0,225
153,8605,185,99420,428,82,196,83,182,0,16,23,77,26,33,164,197,35,105,15,1,3,12,36,80,42,0,241
154,8606,147,75385,334,64,157,57,153,0,28,38,128,74,30,76,106,57,99,31,1,16,10,24,48,29,0,224
155,8607,173,108046,633,57,180,186,417,0,90,108,109,113,67,194,261,76,147,88,12,15,43,94,202,48,0,242
156,8608,128,78548,944,95,287,221,490,1,217,261,154,190,59,227,286,76,59,45,16,26,24,76,318,75,0,176
157,8609,79,49184,176,18,51,43,120,0,36,45,81,48,16,92,108,48,57,18,1,3,2,2,32,14,0,204
158,8610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,8611,140,81728,283,1,13,106,265,0,68,107,119,126,67,152,219,57,30,38,5,29,34,34,126,20,0,237
160,8612,51,36869,133,40,151,6,18,0,1,6,54,8,6,15,21,22,11,11,1,6,6,20,4,0,0,152
161,8613,190,108686,523,48,142,143,307,0,93,116,147,169,47,169,216,124,169,84,5,17,36,54,220,28,0,250
162,8614,59,48705,212,28,87,48,124,0,32,50,83,81,35,58,93,40,72,29,4,11,12,25,68,27,0,189
163,8615,105,72396,498,43,164,149,334,0,71,102,58,90,16,103,119,56,76,39,6,18,82,86,180,27,0,219
164,8616,0,1391,5,1,1,1,2,0,0,0,3,0,0,2,2,0,1,1,0,0,0,0,2,0,0,8
165,8617,19,9954,53,15,44,4,11,0,0,0,10,3,4,16,20,6,2,2,0,3,4,4,8,0,0,39
166,8618,23,22334,64,3,8,23,68,0,9,21,47,24,15,22,37,11,8,6,2,11,6,9,38,2,0,118
167,8619,44,21743,93,14,42,22,44,0,7,10,30,13,5,26,31,11,9,4,1,3,10,13,26,6,0,85
168,8620,175,106963,595,83,257,144,323,0,58,85,80,93,47,89,136,33,62,37,4,27,52,53,206,33,0,245
169,8621,172,87872,402,40,136,103,248,0,76,104,115,146,20,96,116,104,134,62,5,20,62,56,166,12,0,239
170,8622,107,59998,443,6,27,175,393,0,75,112,76,99,82,93,175,47,24,15,5,27,12,24,250,89,0,177
171,8640,28,10327,8,0,0,3,6,0,2,4,40,5,17,21,38,7,2,4,0,0,0,0,6,0,0,81
172,8641,67,52852,130,7,36,45,104,0,19,26,84,49,31,62,93,32,65,28,2,6,7,16,38,9,0,185
173,8642,145,82121,323,29,111,87,203,0,62,86,169,110,38,97,135,59,48,26,11,22,8,26,128,17,0,185
174,8643,130,85056,359,21,89,106,254,0,84,96,150,123,35,109,144,83,178,88,6,22,42,51,138,18,0,209
175,8645,193,111433,614,116,328,77,163,0,112,143,113,180,22,171,193,110,215,64,5,25,46,58,138,25,0,229
176,8648,1,465,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,6
177,8649,243,119479,1102,19,70,460,880,18,125,279,148,290,270,568,838,124,212,97,52,37,68,108,762,233,0,259
178,8650,180,81542,459,10,38,188,360,0,53,64,111,127,44,72,116,56,217,65,5,19,64,60,206,41,0,242
179,8651,134,77587,490,4,15,196,355,8,86,129,136,127,109,286,395,101,110,59,65,22,42,60,320,79,0,228
180,8652,145,74675,279,19,70,94,206,0,34,43,100,58,16,94,110,66,78,29,7,12,28,28,136,11,0,221
181,8653,77,39535,125,0,1,56,119,3,13,19,95,34,58,99,157,33,17,18,15,10,10,6,86,20,0,134
182,8654,90,64591,337,63,197,57,141,0,34,50,70,56,13,45,58,43,48,20,2,12,26,41,68,23,0,200
183,8655,179,103569,674,91,299,140,320,0,121,150,131,205,31,147,178,104,144,37,8,32,35,73,180,67,0,244
184,8656,72,49288,295,47,138,56,146,0,42,55,69,50,25,67,92,59,32,21,5,12,20,9,82,26,0,163
185,8657,163,86494,649,81,206,150,325,0,106,119,99,106,20,126,146,39,35,34,10,19,36,62,158,47,0,218
186,8658,44,30764,104,12,40,30,76,0,8,9,51,35,20,40,60,39,36,37,6,4,10,13,48,7,0,133
187,8659,0,664,0,0,0,0,0,0,0,0,4,0,0,2,2,0,1,0,0,0,0,0,0,0,0,9
188,8662,118,72672,390,42,173,111,267,0,42,63,111,74,73,170,243,65,82,26,6,13,12,50,158,58,0,204
189,8663,58,32888,77,16,44,13,34,0,3,8,37,14,6,42,48,31,58,11,0,1,2,2,14,0,0,103
190,8664,62,43370,543,49,110,143,291,4,110,153,98,126,56,145,201,73,65,34,18,15,14,39,210,74,0,112
191,8665,132,76113,431,64,199,76,214,0,87,114,147,120,20,65,85,84,101,30,5,18,25,46,108,28,0,217
192,8666,6,7384,21,0,8,6,19,0,9,19,21,14,10,9,19,4,5,5,2,3,4,4,12,4,0,42
193,8667,118,71991,377,82,248,59,137,0,13,20,85,47,27,78,105,62,64,28,11,9,47,40,92,17,0,220
194,8668,75,46383,160,34,106,20,63,0,18,22,71,27,13,66,79,45,54,19,5,5,7,4,28,11,0,155
195,8669,84,52503,275,47,147,54,123,0,26,43,67,59,43,91,134,30,33,39,9,14,19,38,88,24,0,158
196,8670,133,81978,431,55,149,107,212,0,52,63,121,107,23,115,138,110,135,27,12,17,28,52,174,36,0,211
197,8671,156,85773,313,47,169,72,174,0,28,42,101,76,28,118,146,109,114,42,13,14,23,35,84,25,0,215
198,8672,119,70194,316,23,90,99,220,0,49,77,145,130,60,137,197,42,68,19,27,15,10,15,122,22,0,141
199,8673,215,107269,517,91,241,95,250,0,54,70,142,99,13,133,146,68,131,43,5,24,42,68,110,31,0,255
200,8674,170,102569,558,65,212,124,304,0,115,157,113,169,27,140,167,107,155,56,8,25,51,68,190,22,0,235
201,8675,77,49844,191,36,107,29,61,0,25,29,59,39,12,64,76,16,25,15,1,14,23,28,40,6,0,194
202,8676,81,48445,191,2,9,78,191,0,29,49,107,40,54,89,143,26,24,12,11,18,24,23,112,44,0,153
203,8677,192,117703,718,158,434,80,189,0,84,107,144,88,17,125,142,54,85,39,19,12,76,70,112,39,0,256
204,8678,119,66127,225,7,34,92,196,0,20,34,154,57,28,60,88,25,47,48,1,9,52,59,152,6,0,222
205,8679,3,5245,33,9,30,0,4,0,6,9,8,6,3,7,10,5,1,1,1,3,3,3,0,3,0,56
206,8680,145,91012,335,33,102,95,216,0,46,64,98,91,49,92,141,51,47,45,3,17,28,42,98,30,0,241
207,8681,81,47911,183,24,59,34,106,0,43,54,31,72,47,55,102,40,57,25,3,6,0,9,56,18,0,166
208,8682,43,23815,67,1,4,25,82,0,14,26,54,30,25,38,63,17,14,4,4,10,2,4,40,10,0,82
209,8683,130,79406,439,91,227,63,170,0,40,58,110,83,28,67,95,58,67,39,5,21,29,43,88,38,0,217
210,8684,92,50246,232,25,90,66,154,0,25,29,99,39,29,51,80,49,45,26,8,21,32,34,114,15,0,192
211,8688,72,43726,288,36,86,70,154,0,40,63,86,78,60,63,123,41,35,19,8,16,13,27,106,43,0,93
212,8689,113,71312,355,49,130,77,165,0,54,65,102,92,26,104,130,75,159,37,4,7,24,46,68,36,0,192
213,8690,71,37800,144,19,62,29,51,0,29,45,71,71,19,54,73,38,58,35,7,6,8,10,52,17,0,164
214,8701,121,68371,324,39,101,77,166,1,53,69,102,81,34,103,137,55,59,27,24,25,23,50,136,18,0,211
215,8702,141,84918,362,58,182,85,209,0,18,26,118,50,49,142,191,50,31,24,13,11,2,22,92,34,0,221
216,8703,49,29482,104,24,85,12,23,0,8,17,41,22,6,28,34,16,44,6,1,0,2,8,14,5,0,94
217,8704,88,41924,221,64,164,11,47,0,7,12,56,25,9,39,48,32,31,18,2,5,8,29,14,45,0,126
218,8705,58,36499,195,31,82,36,88,0,30,37,36,60,10,49,59,47,75,16,1,9,6,17,30,7,0,87
219,8706,19,13929,45,8,27,9,27,0,3,6,46,7,3,22,25,7,10,4,2,4,0,2,8,0,0,55
220,8707,58,54511,281,57,192,44,95,0,22,36,88,60,22,85,107,60,55,42,17,7,11,37,50,35,1,186
221,8708,111,56805,218,13,37,81,210,0,17,28,120,66,31,108,139,91,136,46,4,17,26,37,102,14,0,195
222,8709,211,115260,1186,154,429,248,464,17,228,320,169,381,82,402,484,200,207,48,43,28,57,101,444,126,0,242
223,8710,3,4413,7,1,9,1,5,0,2,2,10,1,1,9,10,2,0,1,1,0,0,0,0,0,0,31
224,8711,6,3818,30,7,19,3,6,0,3,6,12,4,1,2,3,7,5,0,0,0,0,0,2,3,0,21
225,8712,163,98432,504,81,228,107,239,0,47,59,90,98,16,132,148,79,140,37,4,26,42,58,164,36,0,233
226,8713,87,51303,247,29,115,63,169,0,34,44,72,45,21,89,110,53,45,19,7,9,2,16,44,12,0,162
227,8714,69,41858,167,33,108,18,48,0,32,34,95,44,24,35,59,22,39,20,6,8,0,17,12,12,0,159
228,8715,125,60039,216,18,66,61,124,0,40,54,143,83,51,91,142,51,46,23,3,10,8,17,86,23,0,156
229,8716,13,9846,68,20,55,3,7,0,2,6,19,6,3,5,8,7,2,1,1,0,0,6,2,11,0,47
230,8717,145,88049,546,35,166,156,393,1,129,166,133,193,34,130,164,98,171,26,10,29,28,41,234,34,0,229
231,8718,66,32581,142,23,70,29,85,0,15,27,32,25,9,35,44,15,17,10,1,4,9,8,24,12,0,140
232,8719,113,63933,224,2,19,100,229,0,18,24,100,28,43,56,99,32,22,31,9,9,26,36,98,8,0,180
233,8720,112,56436,244,30,68,65,149,0,24,33,86,47,14,71,85,36,46,28,2,11,14,25,50,26,0,202
